"hpl_id";"linje";"lan_kod";"lan";"kommun_kod";"kommun";"tatort_pop";"tatort_kod";"tatort";"y_wgs84";"x_wgs84";"x_sweref99tm";"y_sweref99tm"
780403;"109";"03";"Uppsala";"0380";"Uppsala";NA;NA;NA;59,8266545381895;17,3188824727729;630000,375445881;6634381,08467585
780404;"109";"03";"Uppsala";"0380";"Uppsala";NA;NA;NA;59,8314345826644;17,3185285711989;629961,914861049;6634912,5034862
780408;"109";"03";"Uppsala";"0380";"Uppsala";NA;NA;NA;59,8355299325144;17,4079471188958;634956,140414703;6635547,16648815
780409;"109";"03";"Uppsala";"0380";"Uppsala";NA;NA;NA;59,8358060812176;17,304440327141;629155,498226008;6635371,58897905
780411;"806";"03";"Uppsala";"0380";"Uppsala";NA;NA;NA;59,8275214952579;18,0474581838028;670824,305580762;6636131,72763005
780412;"108, 108, 804, 895";"03";"Uppsala";"0380";"Uppsala";NA;NA;NA;59,8355317501179;17,5176582737451;641103,102625923;6635775,95213941
780414;"109";"03";"Uppsala";"0380";"Uppsala";NA;NA;NA;59,8408075975368;17,2900732322819;628331,236574477;6635900,44144567
780415;"109";"03";"Uppsala";"0380";"Uppsala";NA;NA;NA;59,8425444243324;17,4150632389594;635326,381172724;6636342,50923054
780416;"118, 805, 886";"03";"Uppsala";"0380";"Uppsala";NA;NA;NA;59,9514056503263;17,8767009149348;660657,313230827;6649491,55623603
780418;"109";"03";"Uppsala";"0380";"Uppsala";NA;NA;NA;59,8495269271947;17,2858757218612;628062,575988655;6636862,96399427
780419;"109";"03";"Uppsala";"0380";"Uppsala";NA;NA;NA;59,8476603321253;17,4217691792715;635681,207472634;6636925,70872593
780422;"109, 109, 848";"03";"Uppsala";"0380";"Uppsala";NA;NA;NA;59,8488406925337;17,5304396566463;641762,602146506;6637284,67969776
780424;"109, 109, 848";"03";"Uppsala";"0380";"Uppsala";NA;NA;NA;59,8490253818371;17,5183511160243;641084,801673258;6637279,42804724
780425;"109, 109, 848";"03";"Uppsala";"0380";"Uppsala";NA;NA;NA;59,8511706178697;17,4543628988495;637492,259648576;6637383,66512349
780426;"109, 109, 848";"03";"Uppsala";"0380";"Uppsala";NA;NA;NA;59,8511822146344;17,4741175327887;638598,517219503;6637426,12603517
780427;"109, 109, 848";"03";"Uppsala";"0380";"Uppsala";NA;NA;NA;59,8511100716556;17,4966696687791;639861,782043826;6637465,49939488
780428;"109, 109, 848";"03";"Uppsala";"0380";"Uppsala";NA;NA;NA;59,8514088724443;17,4824267380975;639062,903743212;6637468,77168379
780429;"809, 810";"03";"Uppsala";"0380";"Uppsala";NA;NA;NA;59,844983993819;17,7505377416544;654106,463607797;6637346,96475628
780430;"809, 810";"03";"Uppsala";"0380";"Uppsala";NA;NA;NA;59,848808220128;17,7777422909571;655612,227634299;6637836,2087855
780431;"109";"03";"Uppsala";"0380";"Uppsala";NA;NA;NA;59,8556602923534;17,2833104905115;627895,359192651;6637540,78237227
780432;"109, 109, 848";"03";"Uppsala";"0380";"Uppsala";1293;"T0516";"Vänge";59,8541231630524;17,442212906657;636799,706010115;6637687,1704903
780434;"109, 848";"03";"Uppsala";"0380";"Uppsala";NA;NA;NA;59,8591199036208;17,3738836107588;632953,424846893;6638104,25058155
780436;"109, 848";"03";"Uppsala";"0380";"Uppsala";NA;NA;NA;59,8590441618586;17,4144141829951;635223,055917658;6638177,87154251
780438;"109, 848";"03";"Uppsala";"0380";"Uppsala";NA;NA;NA;59,8596811955319;17,4004156322441;634436,702486335;6638220,28761346
780439;"109";"03";"Uppsala";"0380";"Uppsala";NA;NA;NA;59,8611311750707;17,2821786496874;627810,988338378;6638147,62454198
780441;"809, 810";"03";"Uppsala";"0380";"Uppsala";NA;NA;NA;59,8544779722094;17,8803125836037;661328,519409315;6638712,65795123
780442;"809, 810";"03";"Uppsala";"0380";"Uppsala";NA;NA;NA;59,8545146688175;17,8916308733824;661962,020720562;6638744,36689778
780443;"809, 810";"03";"Uppsala";"0380";"Uppsala";618;"T0548";"Gunsta";59,8554675176667;17,831164683857;658572,118582759;6638704,09306656
780444;"809, 810";"03";"Uppsala";"0380";"Uppsala";NA;NA;NA;59,8551123935686;17,8587371613723;660117,513555892;6638730,90747456
780445;"809, 810";"03";"Uppsala";"0380";"Uppsala";NA;NA;NA;59,8562684070627;17,8040112555028;657048,098233228;6638728,52972366
780446;"109, 848";"03";"Uppsala";"0380";"Uppsala";NA;NA;NA;59,8629547865949;17,3547854768852;631868,919390049;6638492,96323301
780447;"109";"03";"Uppsala";"0380";"Uppsala";NA;NA;NA;59,8639384429712;17,2896039907708;628215,921244489;6638474,48503133
780448;"809, 810";"03";"Uppsala";"0380";"Uppsala";363;"T0526";"Bärby";59,857888275193;17,8138009322657;657588,520931778;6638932,07369605
780449;"809, 810";"03";"Uppsala";"0380";"Uppsala";NA;NA;NA;59,8557576659887;17,9043816992383;662669,83026633;6638913,95646576
780450;"109, 848";"03";"Uppsala";"0380";"Uppsala";NA;NA;NA;59,8647951283897;17,340982587683;631088,923037163;6638670,42775283
780452;"109";"03";"Uppsala";"0380";"Uppsala";NA;NA;NA;59,8668318650698;17,2981055971917;628680,698595341;6638813,07204189
780453;"806, 809";"03";"Uppsala";"0380";"Uppsala";NA;NA;NA;59,8570086649442;18,1022095097674;673738,129478579;6639555,64125149
780454;"109, 848";"03";"Uppsala";"0380";"Uppsala";NA;NA;NA;59,8698687780241;17,3136496559942;629539,029323759;6639181,44559214
780455;"809";"03";"Uppsala";"0380";"Uppsala";NA;NA;NA;59,8606907613836;17,9181885813919;663418,598282074;6639496,97246519
780456;"809";"03";"Uppsala";"0380";"Uppsala";NA;NA;NA;59,860939812997;17,9250417788524;663800,987408601;6639541,62159527
